origin,target,horizon,model,actual,predicted,mase_scale,ae,se,smape,mase,regime,shock_window,config_hash,shocks_hash
1997-04,1997-07,3,drift,443089,483746,38960.9193548,40657,1652991649,8.77329837565,1.0435328702,clean,,f1310f570fef,3e176f06087d
1997-04,1997-08,4,drift,429224,487092.666667,38960.9193548,57868.6666667,3348782581.78,12.6307135452,1.48530033749,clean,,f1310f570fef,3e176f06087d
1997-04,1997-09,5,drift,349899,490439.333333,38960.9193548,140540.333333,19751585293.4,33.4485118097,3.60721296264,clean,,f1310f570fef,3e176f06087d
1997-04,1997-10,6,drift,437972,493786,38960.9193548,55814,3115202596,11.9803640001,1.43256373115,clean,,f1310f570fef,3e176f06087d
1997-05,1997-06,1,drift,603805,474956.941176,38702.168,128848.058824,16601822262.6,23.8881358167,3.32922069956,clean,,f1310f570fef,3e176f06087d
1997-05,1997-07,2,drift,443089,478263.882353,38702.168,35174.8823529,1237272348.54,7.63548538821,0.908860773715,clean,,f1310f570fef,3e176f06087d
1997-05,1997-08,3,drift,429224,481570.823529,38702.168,52346.8235294,2740189933.62,11.4947564868,1.35255532789,clean,,f1310f570fef,3e176f06087d
1997-05,1997-09,4,drift,349899,484877.764706,38702.168,134978.764706,18219266921.5,32.3388887695,3.48762799815,clean,,f1310f570fef,3e176f06087d
1997-05,1997-10,5,drift,437972,488184.705882,38702.168,50212.7058824,2521315832.03,10.8432418755,1.29741325815,clean,,f1310f570fef,3e176f06087d
1997-05,1997-11,6,drift,342296,491491.647059,38702.168,149195.647059,22259341101.3,35.7874448213,3.85496872058,clean,,f1310f570fef,3e176f06087d
1997-06,1997-07,1,drift,443089,608052.437956,38829.3968254,164963.437956,27212935862.3,31.3874864028,4.24841618576,clean,,f1310f570fef,3e176f06087d
1997-06,1997-08,2,drift,429224,612299.875912,38829.3968254,183075.875912,33516776341.1,35.1553872449,4.714878182,clean,,f1310f570fef,3e176f06087d
1997-06,1997-09,3,drift,349899,616547.313869,38829.3968254,266648.313869,71101323289,55.1811952805,6.86717630633,clean,,f1310f570fef,3e176f06087d
1997-06,1997-10,4,drift,437972,620794.751825,38829.3968254,182822.751825,33424158584.8,34.5350383377,4.70835930434,clean,,f1310f570fef,3e176f06087d
1997-06,1997-11,5,drift,342296,625042.189781,38829.3968254,282746.189781,79945407835.7,58.458601711,7.28175590912,clean,,f1310f570fef,3e176f06087d
1997-06,1997-12,6,drift,232444,629289.627737,38829.3968254,396845.627737,157486452254,92.1040133433,10.2202367325,clean,,f1310f570fef,3e176f06087d
1997-07,1997-08,1,drift,429224,446141.050725,38742.2677165,16917.0507246,286186605.22,3.86514191094,0.436656182555,clean,,f1310f570fef,3e176f06087d
1997-07,1997-09,2,drift,349899,449193.101449,38742.2677165,99294.1014493,9859318582.62,24.8517289232,2.56293984069,clean,,f1310f570fef,3e176f06087d
1997-07,1997-10,3,drift,437972,452245.152174,38742.2677165,14273.1521739,203722872.98,3.20666752804,0.368412925086,clean,,f1310f570fef,3e176f06087d
1997-07,1997-11,4,drift,342296,455297.202899,38742.2677165,113001.202899,12769271856.5,28.3355481185,2.91674208968,clean,,f1310f570fef,3e176f06087d
1997-07,1997-12,5,drift,232444,458349.253623,38742.2677165,225905.253623,51033183614.6,65.4045917323,5.8309765261,clean,,f1310f570fef,3e176f06087d
1997-07,1998-01,6,drift,159456,461401.304348,38742.2677165,301945.304348,91170966817.7,97.2672149408,7.79369206152,clean,,f1310f570fef,3e176f06087d
1997-08,1997-09,1,drift,349899,432154.345324,38695.3125,82255.3453237,6765941834.33,21.0357377321,2.12571859508,clean,,f1310f570fef,3e176f06087d
1997-08,1997-10,2,drift,437972,435084.690647,38695.3125,2887.30935252,8336555.29714,0.661425399621,0.0746165146623,clean,,f1310f570fef,3e176f06087d
1997-08,1997-11,3,drift,342296,438015.035971,38695.3125,95719.0359712,9162133847.26,24.5335594548,2.47365972225,clean,,f1310f570fef,3e176f06087d
1997-08,1997-12,4,drift,232444,440945.381295,38695.3125,208501.381295,43472826001.9,61.925948667,5.38828524243,clean,,f1310f570fef,3e176f06087d
1997-08,1998-01,5,drift,159456,443875.726619,38695.3125,284419.726619,80894580889.9,94.2830333862,7.35023723141,clean,,f1310f570fef,3e176f06087d
1997-08,1998-02,6,drift,153551,446806.071942,38695.3125,293255.071942,85998537220,97.6935512706,7.57856838454,clean,,f1310f570fef,3e176f06087d
1997-09,1997-10,1,drift,437972,352241.807143,38791.5581395,85730.1928571,7349665967.32,21.6979739109,2.21002189571,clean,,f1310f570fef,3e176f06087d
1997-09,1997-11,2,drift,342296,354584.614286,38791.5581395,12288.6142857,151010041.063,3.5267487813,0.316785787297,clean,,f1310f570fef,3e176f06087d
1997-09,1997-12,3,drift,232444,356927.421429,38791.5581395,124483.421429,15496122210.6,42.2427748963,3.20903380526,clean,,f1310f570fef,3e176f06087d
1997-09,1998-01,4,drift,159456,359270.228571,38791.5581395,199814.228571,39925725939.6,77.040341346,5.15097196799,clean,,f1310f570fef,3e176f06087d
1997-09,1998-02,5,drift,153551,361613.035714,38791.5581395,208062.035714,43289810705.6,80.7750624229,5.36359057726,clean,,f1310f570fef,3e176f06087d
1997-09,1998-03,6,drift,316678,363955.842857,38791.5581395,47277.8428571,2235194425.22,13.8922985841,1.21876627608,clean,,f1310f570fef,3e176f06087d
1997-10,1997-11,1,drift,342296,440922.822695,38631.9230769,98626.822695,9727250154.92,25.1849980713,2.55298765476,clean,,f1310f570fef,3e176f06087d
1997-10,1997-12,2,drift,232444,443873.64539,38631.9230769,211429.64539,44702494949.8,62.5237702524,5.47292571921,clean,,f1310f570fef,3e176f06087d
1997-10,1998-01,3,drift,159456,446824.468085,38631.9230769,287368.468085,82580636449.6,94.7972046643,7.43862705237,clean,,f1310f570fef,3e176f06087d
1997-10,1998-02,4,drift,153551,449775.29078,38631.9230769,296224.29078,87748830448.2,98.1970437247,7.66786292751,clean,,f1310f570fef,3e176f06087d
1997-10,1998-03,5,drift,316678,452726.113475,38631.9230769,136048.113475,18509089180.2,35.3645401922,3.52165004067,clean,,f1310f570fef,3e176f06087d
1997-10,1998-04,6,drift,422739,455676.93617,38631.9230769,32937.9361702,1084907639.15,7.49939403737,0.852609281309,clean,,f1310f570fef,3e176f06087d
1997-11,1997-12,1,drift,232444,344552.267606,38477.9465649,112108.267606,12568263665.5,38.8592696001,2.9135719968,clean,,f1310f570fef,3e176f06087d
1997-11,1998-01,2,drift,159456,346808.535211,38477.9465649,187352.535211,35100972450.1,74.0136913336,4.86908871021,clean,,f1310f570fef,3e176f06087d
1997-11,1998-02,3,drift,153551,349064.802817,38477.9465649,195513.802817,38225647091.9,77.7985100035,5.08119118278,clean,,f1310f570fef,3e176f06087d
1997-11,1998-03,4,drift,316678,351321.070423,38477.9465649,34643.0704225,1200142328.3,10.372191207,0.900335738138,clean,,f1310f570fef,3e176f06087d
1997-11,1998-04,5,drift,422739,353577.338028,38477.9465649,69161.6619718,4783335486.71,17.8179071041,1.79743640569,clean,,f1310f570fef,3e176f06087d
1997-11,1998-05,6,drift,486250,355833.605634,38477.9465649,130416.394366,17008435919.5,30.9746902787,3.38938030766,clean,,f1310f570fef,3e176f06087d
1997-12,1998-01,1,drift,159456,233916.293706,38352.0681818,74460.2937063,5544335338.83,37.8574164463,1.94149356831,clean,,f1310f570fef,3e176f06087d
1997-12,1998-02,2,drift,153551,235388.587413,38352.0681818,81837.5874126,6697390713.51,42.082415913,2.13385069678,clean,,f1310f570fef,3e176f06087d
1997-12,1998-03,3,drift,316678,236860.881119,38352.0681818,79817.1188811,6370772466.48,28.8388482196,2.08116856965,clean,,f1310f570fef,3e176f06087d
1997-12,1998-04,4,drift,422739,238333.174825,38352.0681818,184405.825175,34005508358.4,55.7899219472,4.80823678923,clean,,f1310f570fef,3e176f06087d
1997-12,1998-05,5,drift,486250,239805.468531,38352.0681818,246444.531469,60734907090.7,67.8858688213,6.42584723985,clean,,f1310f570fef,3e176f06087d
1997-12,1998-06,6,drift,552672,241277.762238,38352.0681818,311394.237762,96966371311.5,78.4417988575,8.1193597249,clean,,f1310f570fef,3e176f06087d
1998-01,1998-02,1,drift,153551,160411.208333,38079.1879699,6860.20833333,47062458.3767,4.37008541235,0.180156371474,clean,,f1310f570fef,3e176f06087d
1998-01,1998-03,2,drift,316678,161366.416667,38079.1879699,155311.583333,24121687917.5,64.9778882123,4.07864746108,clean,,f1310f570fef,3e176f06087d
1998-01,1998-04,3,drift,422739,162321.625,38079.1879699,260417.375,67817209201.9,89.0223555892,6.83883740393,clean,,f1310f570fef,3e176f06087d
1998-01,1998-05,4,drift,486250,163276.833333,38079.1879699,322973.166667,104311666387,99.4487525663,8.48161906503,clean,,f1310f570fef,3e176f06087d
1998-01,1998-06,5,drift,552672,164232.041667,38079.1879699,388439.958333,150885601230,108.365955765,10.200846684,clean,,f1310f570fef,3e176f06087d
1998-01,1998-07,6,drift,488675,165187.25,38079.1879699,323487.75,104644324400,98.9467582813,8.49513257099,clean,,f1310f570fef,3e176f06087d
