date,festival_id,label,day_index,duration_days,lunar_month
2027-04-13,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2027-04-14,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2027-04-15,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2027-08-17,raksha_bandhan,Raksha Bandhan,1,1,shravana
2027-10-01,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2027-10-02,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2027-10-03,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2027-10-04,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2027-10-05,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2027-10-06,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2027-10-07,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2027-10-08,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2027-10-09,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2027-10-29,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2028-02-23,maha_shivaratri,Maha Shivaratri,1,1,magha
2028-03-27,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2028-03-28,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2028-03-29,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2028-03-30,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2028-03-31,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2028-04-01,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2028-04-02,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2028-04-03,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2028-04-04,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2028-08-05,raksha_bandhan,Raksha Bandhan,1,1,shravana
2028-09-19,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2028-09-20,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2028-09-21,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2028-09-22,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2028-09-23,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2028-09-24,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2028-09-25,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2028-09-26,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2028-09-27,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2028-10-17,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2029-02-11,maha_shivaratri,Maha Shivaratri,1,1,magha
2029-04-14,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2029-04-15,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2029-04-16,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2029-04-17,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2029-04-18,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2029-04-19,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2029-04-20,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2029-04-21,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2029-04-22,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2029-08-24,raksha_bandhan,Raksha Bandhan,1,1,shravana
2029-10-08,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2029-10-09,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2029-10-10,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2029-10-11,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2029-10-12,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2029-10-13,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2029-10-14,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2029-10-15,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2029-10-16,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2029-11-05,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2030-03-02,maha_shivaratri,Maha Shivaratri,1,1,magha
2030-04-03,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2030-04-04,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2030-04-05,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2030-04-06,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2030-04-07,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2030-04-08,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2030-04-09,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2030-04-10,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2030-04-11,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2030-08-13,raksha_bandhan,Raksha Bandhan,1,1,shravana
2030-09-28,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2030-09-29,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2030-09-30,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2030-10-01,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2030-10-02,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2030-10-03,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2030-10-04,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2030-10-05,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2030-10-06,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2030-10-26,diwali,Diwali (Lakshmi Puja),1,1,ashvina
