month,festival_days,sharad_navratri_days,is_navratri_month,lunar_drift_days
2002-10-01,9,9,1,10.972580505535007
2002-11-01,1,0,0,11.578661216422915
2002-12-01,0,0,0,11.731164104770869
2003-01-01,0,0,0,11.644240231718868
2003-02-01,0,0,0,11.583200399763882
2003-03-01,1,0,0,11.79496278334409
2003-04-01,9,0,1,12.452149731107056
2003-05-01,0,0,0,13.617181775625795
2003-06-01,0,0,0,15.223634426482022
2003-07-01,0,0,0,17.081628900952637
2003-08-01,1,0,0,18.922614834737033
2003-09-01,4,4,1,20.47999485488981
2003-10-01,6,5,1,21.573444672860205
2003-11-01,0,0,0,22.161861238069832
2003-12-01,0,0,0,22.34962208243087
2004-01-01,0,0,0,22.349393199197948
2004-02-01,1,0,0,22.416290308814496
2004-03-01,9,0,1,22.77652982296422
2004-04-01,0,0,0,23.572266541421413
2004-05-01,0,0,0,24.83144903788343
2004-06-01,0,0,0,26.461301411502063
2004-07-01,0,0,0,28.265466645359993
2004-08-01,1,0,0,29.991358559112996
2004-09-01,0,0,0,1.8574537825770676
2004-10-01,9,9,1,2.8395247207954526
2004-11-01,1,0,0,3.343937200959772
2004-12-01,0,0,0,3.493854410946369
2005-01-01,0,0,0,3.5014547151513398
2005-02-01,0,0,0,3.609621270559728
2005-03-01,1,0,0,4.034819005057216
2005-04-01,9,0,1,4.9166586846113205
2005-05-01,0,0,0,6.277915230486542
2005-06-01,0,0,0,8.005666746757925
2005-07-01,0,0,0,9.871007283683866
2005-08-01,1,0,0,11.594453639816493
2005-09-01,0,0,0,12.93726884946227
2005-10-01,9,9,1,13.77893326152116
2005-11-01,1,0,0,14.146117709111422
2005-12-01,0,0,0,14.18869244074449
2006-01-01,0,0,0,14.129035328049213
2006-02-01,1,0,0,14.21106714848429
2006-03-01,2,0,1,14.653898411430418
2006-04-01,7,0,1,15.602003409992903
2006-05-01,0,0,0,17.075989917386323
2006-06-01,0,0,0,18.94665294373408
2006-07-01,0,0,0,20.955702894367278
2006-08-01,1,0,0,22.788536220323294
2006-09-01,8,8,1,24.175989402923733
2006-10-01,2,1,1,24.983156555797905
2006-11-01,0,0,0,25.24633330339566
2006-12-01,0,0,0,25.14529358362779
2007-01-01,0,0,0,24.937658018432558
2007-02-01,1,0,0,24.89545704657212
2007-03-01,9,0,1,25.255782618187368
2007-04-01,0,0,0,26.17294960701838
2007-05-01,0,0,0,27.670683009084314
2007-06-01,0,0,0,0.2933946498669684
2007-07-01,0,0,0,2.37732509477064
2007-08-01,1,0,0,4.270832319743931
2007-09-01,0,0,0,5.698789859190583
2007-10-01,9,9,1,6.519232197664678
2007-11-01,1,0,0,6.758318681735545
2007-12-01,0,0,0,6.590627729892731
2008-01-01,0,0,0,6.287883053068072
2008-02-01,0,0,0,6.15566949499771
2008-03-01,1,0,0,6.462967814411968
2008-04-01,9,0,1,7.372824613936245
2008-05-01,0,0,0,8.894846636336297
2008-06-01,0,0,0,10.877108943648636
2008-07-01,0,0,0,13.042946284636855
2008-08-01,1,0,0,15.065477927215397
2008-09-01,1,1,1,16.657615407835692
2008-10-01,9,8,1,17.6468032351695
2008-11-01,0,0,0,18.012381511274725
2008-12-01,0,0,0,17.88488823454827
2009-01-01,0,0,0,17.519392304122448
2009-02-01,1,0,0,17.24442420527339
2009-03-01,5,0,1,17.377819806803018
2009-04-01,4,0,1,18.127731061074883
2009-05-01,0,0,0,19.528231518808752
2009-06-01,0,0,0,21.436571125406772
2009-07-01,0,0,0,23.580426461994648
2009-08-01,1,0,0,25.63735020812601
2009-09-01,9,9,1,27.322778147645295
2009-10-01,1,0,0,28.457910740282387
2009-11-01,0,0,0,29.00054754689336
2009-12-01,0,0,0,29.04284526547417
2010-01-01,0,0,0,28.53464670618996
2010-02-01,1,0,0,28.584397503640503
2010-03-01,9,0,1,28.584397503640503
2010-04-01,0,0,0,30.403534133452922
2010-05-01,0,0,0,0.8788980767130852
2010-06-01,0,0,0,2.728571292478591
2010-07-01,0,0,0,4.829067017417401
2010-08-01,1,0,0,6.867355837952346
2010-09-01,0,0,0,8.557423452381045
2010-10-01,9,9,1,9.71252487320453
2010-11-01,1,0,0,10.284101568162441
2010-12-01,0,0,0,10.365552402567118
2011-01-01,0,0,0,10.170042016077787
2011-02-01,0,0,0,9.983005322515965
2011-03-01,1,0,0,10.090739799197763
2011-04-01,9,0,1,10.702038607094437
2011-05-01,0,0,0,11.890577108599246
2011-06-01,0,0,0,13.574093643575907
2011-07-01,0,0,0,15.534908721223474
2011-08-01,1,0,0,17.48060807865113
2011-09-01,3,3,1,19.129685889929533
2011-10-01,7,6,1,20.292270192410797
2011-11-01,0,0,0,20.918215706478804
2011-12-01,0,0,0,21.102373957633972
2012-01-01,0,0,0,21.052350415382534
2012-02-01,1,0,0,21.02934871474281
2012-03-01,9,0,1,21.27738067926839
2012-04-01,0,0,0,21.96224771346897
2012-05-01,0,0,0,23.135314110200852
2012-06-01,0,0,0,24.722922425717115
2012-07-01,0,0,0,26.539746054448187
2012-08-01,1,0,0,28.33224450238049
2012-09-01,0,0,0,29.84934846777469
2012-10-01,9,9,1,1.5076397946104407
2012-11-01,1,0,0,2.0778807243332267
2012-12-01,0,0,0,2.2474769265390933
2013-01-01,0,0,0,2.2353987796232104
2013-02-01,0,0,0,2.2944475249387324
2013-03-01,1,0,0,2.644996756222099
2013-04-01,9,0,1,3.4281834298744798
2013-05-01,0,0,0,4.677728429436684
2013-06-01,0,0,0,6.30728818802163
2013-07-01,0,0,0,8.12120574945584
2013-08-01,1,0,0,9.861329403705895
2013-09-01,0,0,0,11.284753024578094
2013-10-01,9,9,1,12.242321103811264
2013-11-01,1,0,0,12.7236267211847
2013-12-01,0,0,0,12.853442260529846
2014-01-01,0,0,0,12.848644602112472
2014-02-01,1,0,0,12.956820872146636
2014-03-01,1,0,1,13.39582536322996
2014-04-01,8,0,1,14.301996648311615
2014-05-01,0,0,0,15.692023496609181
2014-06-01,0,0,0,17.448028160259128
2014-07-01,0,0,0,19.33848939696327
2014-08-01,1,0,0,21.08112676255405
2014-09-01,6,6,1,22.43181629385799
2014-10-01,4,3,1,23.263755621854216
2014-11-01,0,0,0,23.60268044564873
2014-12-01,0,0,0,23.606728826649487
2015-01-01,0,0,0,23.51074064616114
2015-02-01,1,0,0,23.567081002518535
2015-03-01,9,0,1,23.99619355984032
2015-04-01,0,0,0,24.94027251889929
2015-05-01,0,0,0,26.41928608575836
2015-06-01,0,0,0,28.306614912115037
2015-07-01,0,0,0,30.347159494180232
2015-08-01,1,0,0,2.6629210896790028
2015-09-01,0,0,0,4.001187123823911
2015-10-01,9,9,1,4.77334616612643
2015-11-01,1,0,0,5.027648253832012
2015-12-01,0,0,0,4.941838948987424
2016-01-01,0,0,0,4.763291844166815
2016-02-01,0,0,0,4.7567537650465965
2016-03-01,1,0,0,5.1572966407984495
2016-04-01,9,0,1,6.116311323363334
2016-05-01,0,0,0,7.649440347682685
2016-06-01,0,0,0,9.613593942020088
2016-07-01,0,0,0,11.733962265774608
2016-08-01,1,0,0,13.679657496046275
